index,starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
0,"[(5, 0), (8, 0), (0, 21), (7, 21), (2, 21)]","[(6, 21), (5, 21), (5, 0), (3, 0), (6, 0)]",130,0.0,130.0,0.0,1668678039.703157,0.0,1668678039.703157,0.0
1,"[(1, 0), (2, 0), (1, 21), (2, 21), (6, 21)]","[(4, 21), (3, 21), (6, 0), (5, 0), (2, 0)]",132,0.7633587786259541,131.0,1.0,1668678039.7643566,1.8337769063990528e-09,1668678039.7337568,0.03059983253479004
2,"[(6, 0), (8, 0), (4, 21), (2, 21), (5, 21)]","[(0, 21), (8, 21), (1, 0), (4, 0), (3, 0)]",133,0.9472550346263143,131.66666666666666,1.247219128924647,1668678039.8898947,4.658120021698086e-09,1668678039.7858028,0.07772902586894163
3,"[(5, 0), (6, 0), (0, 21), (6, 21), (5, 21)]","[(4, 21), (7, 21), (7, 0), (8, 0), (4, 0)]",133,0.9278370237815068,132.0,1.224744871391589,1668678039.8999128,5.004161680239182e-09,1668678039.8143303,0.08350334703495503
4,"[(1, 0), (4, 0), (2, 21), (7, 21), (0, 21)]","[(2, 21), (5, 21), (7, 0), (6, 0), (1, 0)]",130,1.0307492375570317,131.6,1.3564659966250536,1668678039.7467484,4.760014303997572e-09,1668678039.8008142,0.07942931338218505
5,"[(0, 0), (8, 0), (4, 21), (1, 21), (0, 21)]","[(3, 21), (8, 21), (2, 0), (5, 0), (8, 0)]",134,1.1572160845848083,132.0,1.5275252316519468,1668678040.0123441,6.418727257600508e-09,1668678039.836069,0.10710789218455162
6,"[(2, 0), (3, 0), (7, 21), (8, 21), (0, 21)]","[(3, 21), (5, 21), (1, 0), (4, 0), (8, 0)]",134,1.1928035655709786,132.28571428571428,1.5779087167410373,1668678040.0393217,7.3130922453711696e-09,1668678039.8651052,0.12203196433358664
7,"[(2, 0), (7, 0), (2, 21), (5, 21), (8, 21)]","[(0, 21), (3, 21), (6, 0), (4, 0), (2, 0)]",134,1.1933123245918413,132.5,1.5811388300841898,1668678040.1323745,8.65188539774753e-09,1668678039.8985138,0.1443721116693992
8,"[(7, 0), (8, 0), (6, 21), (0, 21), (3, 21)]","[(0, 21), (8, 21), (4, 0), (7, 0), (6, 0)]",136,1.394091304392397,132.88888888888889,1.852592444503674,1668678040.18277,9.756953268265116e-09,1668678039.9300978,0.16281213655378196
9,"[(8, 0), (1, 0), (4, 21), (5, 21), (6, 21)]","[(6, 21), (2, 21), (0, 0), (1, 0), (2, 0)]",132,1.338583496583673,132.8,1.7776388834631178,1668678040.1670341,1.0189381153332834e-08,1668678039.9537914,0.17002796571285536
10,"[(3, 0), (7, 0), (4, 21), (6, 21), (1, 21)]","[(5, 21), (3, 21), (4, 0), (8, 0), (0, 0)]",131,1.3360924393158278,132.63636363636363,1.7721444263289023,1668678040.2349062,1.0855416613236118e-08,1668678039.9793472,0.1811419531733409
11,"[(3, 0), (1, 0), (8, 21), (1, 21), (5, 21)]","[(3, 21), (7, 21), (5, 0), (4, 0), (6, 0)]",130,1.3944946385248795,132.41666666666666,1.846543317180028,1668678040.3129041,1.1770424421264187e-08,1668678040.0071437,0.19641048753327342
12,"[(1, 0), (8, 0), (4, 21), (0, 21), (5, 21)]","[(1, 21), (2, 21), (7, 0), (0, 0), (5, 0)]",130,1.4273233445474458,132.23076923076923,1.8873606379054302,1668678040.3303304,1.2430646341030447e-08,1668678040.032004,0.20742746572681692
13,"[(8, 0), (3, 0), (0, 21), (6, 21), (5, 21)]","[(5, 21), (0, 21), (5, 0), (2, 0), (1, 0)]",131,1.3970646468454144,132.14285714285714,1.8461211404742977,1668678040.3096075,1.2721647747971299e-08,1668678040.051833,0.21228334230314558
14,"[(7, 0), (0, 0), (6, 21), (5, 21), (1, 21)]","[(7, 21), (5, 21), (4, 0), (8, 0), (2, 0)]",130,1.410529297350398,132.0,1.8618986725025255,1668678040.305234,1.2860785696345584e-08,1668678040.0687263,0.2146051066952186
15,"[(8, 0), (2, 0), (2, 21), (1, 21), (0, 21)]","[(3, 21), (6, 21), (3, 0), (4, 0), (8, 0)]",136,1.5473256657603875,132.25,2.0463381929681126,1668678040.4627812,1.3701737336205963e-08,1668678040.0933547,0.22863788204054108
16,"[(0, 0), (7, 0), (6, 21), (1, 21), (2, 21)]","[(2, 21), (8, 21), (0, 0), (1, 0), (4, 0)]",133,1.5065428498085744,132.2941176470588,1.993067570129108,1668678040.4170797,1.4054569578051599e-08,1668678040.1123974,0.2345255161812647
17,"[(0, 0), (6, 0), (0, 21), (5, 21), (6, 21)]","[(4, 21), (5, 21), (1, 0), (4, 0), (5, 0)]",131,1.481948915004067,132.22222222222223,1.9594657876164885,1668678040.4264681,1.4322854719652149e-08,1668678040.1298456,0.23900233142653657
18,"[(5, 0), (3, 0), (2, 21), (0, 21), (6, 21)]","[(4, 21), (8, 21), (0, 0), (3, 0), (6, 0)]",134,1.472295586580887,132.31578947368422,1.9480795287707107,1668678040.5281272,1.492489382274682e-08,1668678040.1508079,0.24904842573600064
19,"[(2, 0), (7, 0), (4, 21), (0, 21), (8, 21)]","[(2, 21), (8, 21), (8, 0), (1, 0), (2, 0)]",134,1.4606555593514892,132.4,1.9339079605813718,1668678040.522253,1.533463725212404e-08,1668678040.1693802,0.2558857243658271
20,"[(3, 0), (7, 0), (6, 21), (0, 21), (7, 21)]","[(1, 21), (2, 21), (0, 0), (4, 0), (6, 0)]",132,1.4271103902789473,132.38095238095238,1.8892223261787968,1668678040.631255,1.608411036109552e-08,1668678040.1913743,0.2683920175557465
21,"[(8, 0), (1, 0), (3, 21), (1, 21), (6, 21)]","[(1, 21), (0, 21), (7, 0), (3, 0), (5, 0)]",130,1.4449344358507654,132.27272727272728,1.9112541856026033,1668678040.4232466,1.597865182360928e-08,1668678040.201914,0.2666322541008907
22,"[(5, 0), (1, 0), (5, 21), (7, 21), (2, 21)]","[(6, 21), (2, 21), (2, 0), (7, 0), (4, 0)]",130,1.4570549072598749,132.17391304347825,1.9258464861173996,1668678040.4410605,1.5898376612528784e-08,1668678040.2123117,0.26529271928351783
23,"[(1, 0), (5, 0), (5, 21), (2, 21), (7, 21)]","[(4, 21), (8, 21), (6, 0), (4, 0), (0, 0)]",133,1.4314610714372222,132.20833333333334,1.8925108248626277,1668678040.8057625,1.7109390747966402e-08,1668678040.2370389,0.285500646229663
24,"[(8, 0), (4, 0), (4, 21), (7, 21), (2, 21)]","[(7, 21), (0, 21), (1, 0), (5, 0), (4, 0)]",132,1.4029680023442814,132.2,1.85472369909914,1668678040.8602421,1.829160017318971e-08,1668678040.2619672,0.3052279153025366
