starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
"[(1, 0), (2, 0), (6, 21), (3, 21), (8, 21), (5, 21)]","[(1, 21), (0, 21), (5, 0), (6, 0), (8, 0), (3, 0)]",170,0.0,170.0,0.0,1668678053.1913278,0.0,1668678053.1913278,0.0
"[(6, 0), (8, 0), (4, 21), (0, 21), (5, 21), (1, 21)]","[(6, 21), (7, 21), (2, 0), (5, 0), (1, 0), (3, 0)]",169,0.2949852507374631,169.5,0.5,1668678053.7662542,1.7227001192476603e-08,1668678053.478791,0.2874631881713867
"[(1, 0), (3, 0), (7, 21), (6, 21), (0, 21), (3, 21)]","[(8, 21), (6, 21), (6, 0), (8, 0), (2, 0), (4, 0)]",175,1.5319081466949047,171.33333333333334,2.6246692913372702,1668678055.3804696,5.553360331620927e-08,1668678054.112684,0.9266770511955779
"[(7, 0), (2, 0), (0, 21), (2, 21), (1, 21), (3, 21)]","[(7, 21), (8, 21), (3, 0), (0, 0), (2, 0), (5, 0)]",170,1.3714665964395993,171.0,2.345207879911715,1668678057.2868688,9.538096858821846e-08,1668678054.9062302,1.5916012913886062
"[(2, 0), (7, 0), (6, 21), (4, 21), (1, 21), (8, 21)]","[(6, 21), (1, 21), (5, 0), (8, 0), (0, 0), (6, 0)]",175,1.535611869414775,171.8,2.6381811916545836,1668678057.6890116,1.0829472479158942e-07,1668678055.4627864,1.8070903078210705
"[(4, 0), (1, 0), (1, 21), (7, 21), (5, 21), (4, 21)]","[(7, 21), (8, 21), (4, 0), (5, 0), (2, 0), (0, 0)]",178,1.9310496040984362,172.83333333333334,3.337497399083464,1668678058.773897,1.234570460080873e-07,1668678056.0146382,2.0601006353408486
"[(2, 0), (3, 0), (8, 21), (0, 21), (6, 21), (4, 21)]","[(6, 21), (3, 21), (6, 0), (8, 0), (0, 0), (4, 0)]",185,3.0134128706255265,174.57142857142858,5.260557897006277,1668678065.208132,2.2412594722395853e-07,1668678057.3279946,3.739940502104718
"[(3, 0), (8, 0), (3, 21), (1, 21), (0, 21), (5, 21)]","[(1, 21), (8, 21), (6, 0), (1, 0), (7, 0), (2, 0)]",177,2.851132333835473,174.875,4.985917668794783,1668678076.2217116,4.29153444866683e-07,1668678059.6897092,7.161189376892911
"[(4, 0), (1, 0), (6, 21), (4, 21), (2, 21), (7, 21)]","[(6, 21), (2, 21), (2, 0), (3, 0), (0, 0), (1, 0)]",178,2.7406699790709332,175.22222222222223,4.802262841105402,1668678077.0655417,5.203840769454112e-07,1668678061.6203573,8.683534928153676
"[(5, 0), (7, 0), (6, 21), (4, 21), (1, 21), (3, 21)]","[(4, 21), (7, 21), (3, 0), (1, 0), (6, 0), (5, 0)]",176,2.6022805996479272,175.3,4.561797891182817,1668678078.6518779,5.80927488405601e-07,1668678063.3235095,9.693809562840487
"[(5, 0), (7, 0), (8, 21), (5, 21), (1, 21), (2, 21)]","[(7, 21), (6, 21), (8, 0), (1, 0), (4, 0), (6, 0)]",172,2.5438638019107103,175.0,4.451761653343743,1668678088.1851745,7.001801247378401e-07,1668678065.5836608,11.683752161076653
"[(2, 0), (4, 0), (2, 21), (4, 21), (7, 21), (8, 21)]","[(1, 21), (7, 21), (7, 0), (6, 0), (3, 0), (4, 0)]",175,2.4355641623894133,175.0,4.262237284181474,1668678088.2881997,7.686466892313927e-07,1668678067.4757059,12.826238719582399
"[(2, 0), (0, 0), (6, 21), (5, 21), (7, 21), (0, 21)]","[(6, 21), (8, 21), (8, 0), (4, 0), (1, 0), (5, 0)]",185,2.7795964128140773,175.76923076923077,4.885675233292436,1668678097.4389243,8.799503844183151e-07,1668678069.7805686,14.683539089738234
"[(3, 0), (0, 0), (5, 21), (4, 21), (3, 21), (7, 21)]","[(0, 21), (5, 21), (7, 0), (4, 0), (1, 0), (5, 0)]",174,2.692937475582481,175.64285714285714,4.7299523231838005,1668678103.0336373,9.911601660258043e-07,1668678072.155788,16.539272350415498
"[(1, 0), (2, 0), (6, 21), (2, 21), (7, 21), (4, 21)]","[(7, 21), (0, 21), (8, 0), (5, 0), (6, 0), (2, 0)]",174,2.613695485618724,175.53333333333333,4.5879068090894,1668678111.7731829,1.1258928408779149e-06,1668678074.7969475,18.78752698143825
"[(6, 0), (0, 0), (0, 21), (8, 21), (3, 21), (1, 21)]","[(6, 21), (4, 21), (4, 0), (8, 0), (3, 0), (0, 0)]",175,2.532249121742333,175.5,4.444097208657794,1668678179.5385337,1.8700227392904278e-06,1668678081.3432965,31.204659566674867
"[(2, 0), (5, 0), (0, 21), (8, 21), (2, 21), (4, 21)]","[(6, 21), (5, 21), (0, 0), (1, 0), (6, 0), (8, 0)]",184,2.7004023899363845,176.0,4.752708206288037,1668678187.819805,2.3548756614003186e-06,1668678087.6066206,39.295294152168594
"[(1, 0), (3, 0), (2, 21), (5, 21), (7, 21), (8, 21)]","[(5, 21), (7, 21), (2, 0), (7, 0), (3, 0), (5, 0)]",177,2.6267155281359114,176.05555555555554,4.6244786159237234,1668678188.0179002,2.671559272629223e-06,1668678093.185025,44.57972432881704
