index,starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
0,"[(1, 0), (7, 21)]","[(4, 21), (4, 0)]",56,0.0,56.0,0.0,0.008287031,0.0,0.008287031,0.0
1,"[(1, 0), (7, 21)]","[(6, 21), (7, 0)]",55,0.9009009009009009,55.5,0.5,0.008120006999999999,1.018002152490911,0.008203519,8.351200000000086e-05
2,"[(6, 0), (2, 21)]","[(3, 21), (3, 0)]",58,2.213998453712391,56.333333333333336,1.247219128924647,0.00881568,3.5268444123718616,0.008407572666666667,0.0002965220068104372
3,"[(5, 0), (6, 21)]","[(4, 21), (2, 0)]",61,3.9848484303963825,57.5,2.29128784747792,0.009719762,7.137782751277171,0.00873562,0.0006235295775771188
4,"[(0, 0), (3, 21)]","[(1, 21), (7, 0)]",55,4.000615526663642,57.0,2.280350850198276,0.007899587,7.589264447773269,0.008568413399999999,0.0006502795519044407
5,"[(6, 0), (0, 21)]","[(4, 21), (2, 0)]",56,3.72099048107024,56.833333333333336,2.1147629234082532,0.008276833,7.083312745106161,0.008519816666666666,0.0006034852598096788
6,"[(8, 0), (2, 21)]","[(2, 21), (0, 0)]",58,3.508771929824561,57.0,2.0,0.008550506999999999,6.555711052400623,0.008524200999999999,0.0005588219870858443
7,"[(0, 0), (2, 21)]","[(4, 21), (8, 0)]",60,3.690865870609459,57.375,2.117634293262177,0.009549506,7.201255664585286,0.008652364124999999,0.0006230788616721076
8,"[(0, 0), (7, 21)]","[(6, 21), (2, 0)]",61,3.978492474149462,57.77777777777778,2.298684540619689,0.00975186,7.767176354734814,0.008774530333333332,0.0006815332452897005
9,"[(4, 0), (4, 21)]","[(4, 21), (1, 0)]",59,3.819230464161655,57.9,2.211334438749598,0.022249286,40.44461774580155,0.0101220059,0.00409380659446248
10,"[(5, 0), (7, 21)]","[(2, 21), (1, 0)]",61,3.9342744725044287,58.18181818181818,2.289032420366213,0.02509279,50.598288041257824,0.011482986272727274,0.005810194470012641
11,"[(5, 0), (0, 21)]","[(5, 21), (8, 0)]",62,4.157982769038868,58.5,2.4324199198877374,0.010244849,48.975809909970636,0.011379808166666667,0.005573353215825981
