index,starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
0,"[(2, 0), (2, 20)]","[(1, 21), (5, 0)]",45,0.0,45.0,0.0,0.006192507999999999,0.0,0.006192507999999999,0.0
1,"[(7, 0), (3, 21)]","[(5, 21), (3, 1)]",43,2.272727272727273,44.0,1.0,0.0056470159999999995,4.607381175121566,0.005919761999999999,0.0002727459999999999
2,"[(5, 0), (7, 21)]","[(5, 20), (2, 1)]",45,2.126636935899391,44.333333333333336,0.9428090415820634,0.0061696979999999995,4.196902778545833,0.006003074,0.0002519431795041625
3,"[(4, 0), (7, 21)]","[(6, 20), (3, 0)]",47,3.1426968052735447,45.0,1.4142135623730951,0.006700636000000001,6.031859406884211,0.0061774645,0.0003726159735501827
4,"[(5, 0), (8, 21)]","[(5, 21), (0, 0)]",50,5.144417202695318,46.0,2.3664319132398464,0.007274379999999999,8.613460413127722,0.0063968476,0.0005509899357141108
5,"[(2, 0), (8, 20)]","[(2, 21), (5, 0)]",46,4.696188911889754,46.0,2.160246899469287,0.006401346,7.862099819680046,0.006397597333333334,0.0005029854884078555
6,"[(2, 0), (5, 20)]","[(8, 21), (5, 0)]",47,4.400207555279225,46.142857142857146,2.0303814862216996,0.006857961000000001,7.623754705289343,0.006463363571428572,0.0004927509843967431
7,"[(6, 0), (6, 21)]","[(8, 21), (0, 0)]",50,4.9069719082367635,46.625,2.2878756522153907,0.007405432,8.453688737223846,0.006581122125,0.0005563475798640716
8,"[(5, 0), (5, 21)]","[(1, 20), (3, 1)]",46,4.6524078018181205,46.55555555555556,2.165954298846436,0.0060690629999999995,8.409581526968754,0.0065242266666666665,0.0005486601605375693
9,"[(0, 1), (1, 21)]","[(0, 20), (1, 1)]",45,4.541230065884801,46.4,2.1071307505705477,0.015893161,38.3115355841001,0.0074611201,0.002858469682083945
10,"[(1, 1), (6, 21)]","[(7, 20), (4, 0)]",48,4.4280406440447795,46.54545454545455,2.0610516452281153,0.006828831999999998,36.89399911235272,0.007403639363636363,0.002731498641101796
11,"[(3, 1), (8, 21)]","[(8, 21), (4, 0)]",50,4.680763856927368,46.833333333333336,2.1921577396609844,0.007322355000000001,35.35696679467309,0.007396865666666666,0.002615307337609908
12,"[(1, 1), (3, 21)]","[(5, 21), (0, 0)]",48,4.537164755114114,46.92307692307692,2.1289773081689303,0.007892396,33.842349918508646,0.007434983384615384,0.002516173093404516
13,"[(8, 0), (8, 20)]","[(7, 21), (3, 0)]",47,4.3718132774262015,46.92857142857143,2.0516295166207246,0.006470999000000002,33.088241730668656,0.007366127357142857,0.002437322026120343
14,"[(8, 0), (5, 21)]","[(7, 20), (5, 1)]",41,5.314394553292667,46.53333333333333,2.4729649321321876,0.004912189000000001,33.77894640241073,0.007202531466666666,0.0024329392437421006
15,"[(7, 1), (5, 20)]","[(2, 20), (4, 1)]",44,5.329843647785766,46.375,2.4717149916606487,0.0057441969999999995,33.495385710371586,0.007111385562499999,0.0023819860235110525
16,"[(3, 1), (2, 21)]","[(0, 21), (2, 1)]",45,5.226674409454416,46.294117647058826,2.4196428001415446,0.006755298,32.61270856402779,0.007090439235294116,0.002312384283715951
17,"[(4, 0), (2, 21)]","[(0, 21), (7, 1)]",50,5.376344086021505,46.5,2.5,0.007128582000000001,31.684626098325335,0.007092558277777776,0.002247250571119711
18,"[(4, 0), (1, 21)]","[(7, 20), (7, 0)]",50,5.474548158818031,46.68421052631579,2.5557495878271546,0.007183080999999997,30.820164133517693,0.007097322631578947,0.0021874064841379283
19,"[(6, 1), (4, 20)]","[(5, 20), (0, 0)]",44,5.496902935305687,46.55,2.558808316384797,0.005578855000000004,30.728240639118653,0.007021399249999999,0.002157552457773272
20,"[(5, 0), (1, 20)]","[(7, 20), (3, 1)]",43,5.625309047968264,46.38095238095238,2.609071910819566,0.005523749000000001,30.64098962765514,0.00695008257142857,0.002129574079824896
21,"[(3, 0), (1, 21)]","[(6, 21), (7, 1)]",50,5.711012311411501,46.54545454545455,2.6582166394933533,0.007332963999999997,29.88365850794435,0.0069674862727272715,0.002082139804329718
22,"[(3, 1), (6, 21)]","[(1, 21), (2, 1)]",46,5.593440376614954,46.52173913043478,2.6021657404252174,0.006166884000000001,29.46779911019358,0.006932677478260868,0.002042907472251547
23,"[(8, 1), (3, 21)]","[(0, 21), (3, 0)]",49,5.5658282820446905,46.625,2.595067436503337,0.006957480999999998,28.84314374241145,0.006933710958333332,0.0019999002183954174
24,"[(4, 1), (2, 21)]","[(8, 20), (1, 0)]",45,5.5036485835212945,46.56,2.562498780487515,0.005949496999999998,28.559107879649282,0.006894342399999999,0.001968962683608401
25,"[(1, 0), (4, 20)]","[(0, 20), (0, 0)]",45,5.442112208303055,46.5,2.5305821768609205,0.006989768,27.990873249994298,0.006898012615384614,0.001930813967940924
26,"[(1, 0), (3, 21)]","[(7, 21), (1, 1)]",49,5.425241822178553,46.592592592592595,2.5277608193706005,0.008151892999999993,27.4962028433949,0.006944452629629628,0.0019094607814064337
27,"[(5, 0), (3, 21)]","[(0, 21), (4, 1)]",47,5.328288449407654,46.607142857142854,2.4833630094560672,0.006328312000000003,27.136880310017542,0.006922447607142856,0.00187853632167403
28,"[(4, 1), (3, 21)]","[(8, 21), (5, 1)]",46,5.243363656084334,46.58620689655172,2.4426842411620466,0.006152336000000001,26.845033130643863,0.006895892034482758,0.0018512045013103274
