starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
"[(8, 1), (5, 1), (4, 20), (2, 20), (5, 21), (0, 20)]","[(7, 21), (3, 21), (8, 1), (5, 1), (6, 0), (2, 0)]",133,0.0,133.0,0.0,0.017666723000000002,0.0,0.017666723000000002,0.0
"[(6, 0), (4, 1), (2, 21), (1, 20), (5, 20), (7, 21)]","[(7, 20), (5, 20), (2, 0), (4, 1), (6, 1), (3, 0)]",135,0.7462686567164178,134.0,1.0,0.030076817999999998,25.99324377720537,0.0238717705,0.006205047499999998
"[(5, 1), (0, 1), (2, 20), (8, 20), (3, 21), (0, 21)]","[(5, 20), (4, 20), (5, 0), (0, 1), (8, 1), (0, 0)]",144,3.4836650714580877,137.33333333333334,4.784233364802441,0.031096822000000003,23.229766403540992,0.026280121,0.0061048107188679205
"[(3, 1), (6, 1), (5, 21), (8, 20), (4, 21), (3, 21)]","[(5, 20), (4, 21), (2, 0), (6, 0), (0, 0), (0, 1)]",142,3.328355399744724,138.5,4.6097722286464435,0.025271942999999998,20.38150689018207,0.026028076499999997,0.0053049142052293595
"[(6, 1), (4, 1), (7, 21), (1, 21), (6, 21), (4, 21)]","[(6, 20), (4, 20), (4, 1), (4, 0), (6, 1), (3, 1)]",136,3.0743773095067284,138.0,4.242640687119285,0.031976164,19.50187658450467,0.027217693999999997,0.005307961093028132
"[(1, 1), (0, 0), (7, 21), (8, 21), (5, 20), (1, 21)]","[(5, 20), (1, 21), (8, 0), (7, 0), (3, 0), (0, 0)]",137,2.822882111228235,137.83333333333334,3.8908725099762504,0.029866442999999996,17.878390355327983,0.027659152166666662,0.004945011193330824
"[(0, 0), (7, 1), (4, 20), (8, 21), (1, 20), (6, 21)]","[(0, 21), (5, 20), (3, 0), (2, 1), (7, 1), (7, 0)]",138,2.6133720648535728,137.85714285714286,3.602720060833854,0.020253070999999997,19.77664748524168,0.02660114057142857,0.005260813797865032
"[(1, 0), (2, 0), (7, 21), (6, 21), (5, 20), (2, 21)]","[(3, 21), (3, 20), (3, 0), (5, 0), (2, 0), (6, 1)]",138,2.4445092951428404,137.875,3.370367190678191,0.021136877999999998,20.22664567902221,0.02591810775,0.005242363821299695
"[(0, 0), (5, 0), (0, 21), (6, 20), (2, 21), (8, 20)]","[(6, 20), (0, 20), (4, 1), (8, 0), (3, 1), (5, 1)]",144,2.6813558135205278,138.55555555555554,3.715167443844553,0.026233806,19.0479266329793,0.025953185333333333,0.004943543701214478
"[(5, 0), (7, 1), (6, 20), (0, 21), (2, 21), (7, 21)]","[(1, 20), (6, 20), (1, 0), (4, 1), (8, 1), (5, 0)]",142,2.6442574042054656,138.9,3.6728735344413916,0.02226592799999999,18.833880118474898,0.025584459599999998,0.004818546450023642
"[(4, 1), (2, 1), (7, 20), (4, 20), (7, 21), (2, 20)]","[(1, 21), (6, 21), (4, 1), (5, 1), (3, 0), (7, 1)]",142,2.5962909097781566,139.1818181818182,3.6135648935185074,0.02044618699999999,19.213535308527245,0.025117343909090907,0.004825929740537399
"[(5, 1), (2, 0), (2, 20), (1, 21), (7, 20), (2, 21)]","[(0, 20), (2, 20), (8, 0), (1, 0), (2, 1), (6, 1)]",145,2.731628434906825,139.66666666666666,3.8151743807531986,0.031562741,19.302658207836448,0.025654460333333334,0.004951992793208313
"[(6, 0), (8, 0), (6, 21), (3, 21), (6, 20), (8, 20)]","[(2, 21), (7, 20), (4, 0), (5, 1), (2, 1), (4, 1)]",140,2.6247522660381026,139.69230769230768,3.6665770116347645,0.032728755,19.53369687413815,0.026198636846153846,0.0051175623066839595
"[(7, 0), (5, 1), (5, 20), (7, 21), (8, 21), (3, 20)]","[(2, 21), (3, 20), (0, 0), (1, 0), (5, 1), (7, 1)]",149,3.041963182468897,140.35714285714286,4.269612609679559,0.057474445000000006,33.216980094775664,0.02843262314285714,0.009444458769785436
"[(2, 1), (5, 0), (6, 20), (8, 20), (1, 20), (4, 21)]","[(1, 20), (8, 21), (6, 0), (1, 0), (3, 1), (0, 1)]",140,2.939999704848608,140.33333333333334,4.125799585804214,0.024429031000000004,32.5882171500982,0.028165716999999996,0.009178705017842124
"[(4, 1), (5, 1), (7, 20), (5, 21), (6, 21), (3, 20)]","[(8, 20), (7, 20), (4, 1), (6, 1), (3, 0), (0, 1)]",137,2.9084460993579135,140.125,4.075460096725276,0.027231287,31.629206812301465,0.028107315124999997,0.008890120830271539
"[(7, 0), (5, 0), (6, 21), (2, 21), (0, 20), (5, 21)]","[(2, 20), (0, 20), (6, 0), (0, 0), (3, 1), (2, 0)]",152,3.437941243701296,140.8235294117647,4.841430198482883,0.12020894399999998,69.57230155314255,0.033525057999999996,0.02332415444762594
"[(2, 0), (1, 1), (1, 21), (5, 20), (0, 20), (6, 21)]","[(3, 20), (7, 20), (5, 0), (6, 0), (8, 1), (6, 1)]",148,3.5291363480732976,141.22222222222223,4.98392477600129,0.10004880599999999,73.38050155305463,0.037220821777777774,0.027312825702701916
"[(3, 1), (6, 0), (5, 21), (2, 20), (4, 21), (8, 21)]","[(2, 20), (2, 21), (5, 0), (0, 0), (8, 0), (4, 1)]",137,3.50479868437641,141.0,4.941766144970738,0.018947060999999987,74.17649459487721,0.03625904489473684,0.026895688476498574
"[(2, 0), (5, 0), (3, 21), (4, 20), (8, 20), (5, 21)]","[(2, 21), (6, 21), (1, 0), (4, 0), (2, 1), (5, 0)]",141,3.416055199657389,141.0,4.8166378315169185,0.03161540900000004,72.81844960869651,0.036026863099999994,0.02623420315206757
"[(0, 1), (7, 1), (5, 20), (2, 20), (4, 21), (0, 21)]","[(0, 21), (5, 21), (8, 0), (3, 1), (7, 1), (3, 0)]",138,3.367791590375192,140.85714285714286,4.743775011585627,0.05843013700000001,70.20792575010537,0.03709368566666666,0.026042707290830806
"[(4, 0), (3, 0), (0, 20), (6, 20), (1, 20), (4, 21)]","[(4, 20), (7, 20), (8, 1), (5, 1), (3, 0), (6, 1)]",146,3.3715142917399805,141.0909090909091,4.756900164345864,0.100803641,71.76066230099849,0.03998959272727272,0.02869679659256283
"[(4, 0), (0, 1), (6, 21), (2, 21), (6, 20), (0, 20)]","[(8, 20), (5, 21), (7, 0), (5, 0), (2, 0), (6, 1)]",145,3.341438767737049,141.2608695652174,4.72014545929464,0.022081008999999985,72.18043599409398,0.0392109586521739,0.028302640912603042
"[(3, 1), (8, 1), (0, 21), (1, 20), (7, 20), (7, 21)]","[(0, 21), (4, 20), (7, 1), (4, 1), (2, 1), (1, 1)]",149,3.4415665464493745,141.58333333333334,4.872684635347906,0.03917114099999999,70.66367045229582,0.03920929958333332,0.02770673024422006
"[(6, 1), (1, 0), (1, 21), (1, 20), (3, 20), (5, 20)]","[(4, 20), (0, 20), (6, 1), (5, 1), (0, 0), (7, 1)]",136,3.4649119918435565,141.36,4.897999591670051,0.026433869000000013,70.44790609408751,0.03869828235999999,0.027262129616997623
"[(5, 0), (5, 1), (2, 21), (5, 20), (6, 21), (0, 20)]","[(0, 21), (7, 21), (7, 1), (8, 0), (1, 1), (0, 0)]",147,3.4778465025838416,141.57692307692307,4.923828067696585,0.03516955099999999,69.34531270375973,0.038562561923076916,0.026741329152138667
"[(8, 1), (0, 1), (5, 20), (3, 20), (5, 21), (6, 20)]","[(5, 20), (3, 21), (2, 1), (1, 0), (4, 1), (3, 0)]",136,3.4980752906417645,141.37037037037038,4.945241994214673,0.02135611899999998,69.72095963192459,0.037925286259259255,0.026441873523109987
"[(8, 0), (0, 1), (2, 20), (6, 21), (7, 21), (5, 20)]","[(0, 20), (8, 20), (7, 1), (7, 0), (3, 1), (0, 1)]",149,3.5711883361281322,141.64285714285714,5.058333193244347,0.02381988900000004,69.73798617827349,0.03742152207142857,0.026097015889872417
"[(3, 0), (1, 1), (6, 21), (5, 21), (8, 21), (1, 20)]","[(1, 21), (4, 20), (7, 0), (4, 0), (6, 1), (6, 0)]",137,3.5637098174865685,141.48275862068965,5.042034959016341,0.020525506,70.11006808858752,0.03683890082758621,0.025827778453307925
"[(2, 1), (7, 1), (2, 21), (4, 20), (1, 21), (5, 20)]","[(4, 20), (1, 21), (1, 0), (3, 1), (7, 1), (4, 0)]",144,3.5162513171838037,141.56666666666666,4.977839781359871,0.092192803,70.49022718079658,0.038684030900000006,0.027268461264099556
"[(5, 0), (2, 0), (0, 21), (1, 21), (6, 20), (5, 20)]","[(2, 21), (3, 20), (0, 0), (5, 0), (7, 0), (3, 1)]",137,3.5093653480724685,141.41935483870967,4.9629218341773225,0.018688820999999994,71.12874195880464,0.03803902412903226,0.027056679316386792
"[(2, 1), (2, 0), (1, 20), (7, 20), (5, 21), (3, 21)]","[(0, 20), (8, 20), (7, 1), (8, 0), (8, 1), (0, 1)]",143,3.4583585750576655,141.46875,4.8924966466518915,0.038363757,69.9900201876092,0.03804917203125,0.02663062318589003
"[(1, 1), (7, 1), (7, 20), (3, 20), (1, 20), (1, 21)]","[(4, 20), (3, 20), (5, 0), (4, 1), (7, 1), (6, 0)]",141,3.4063717584063333,141.45454545454547,4.818467687345686,0.02618335300000002,69.78792362204821,0.037689601757575755,0.026302790488031108
"[(5, 0), (4, 0), (2, 21), (0, 20), (7, 21), (1, 20)]","[(5, 21), (2, 20), (8, 0), (5, 1), (7, 1), (7, 0)]",147,3.4167068962917546,141.61764705882354,4.838659913424941,0.086564356,69.50949810275128,0.039127094529411766,0.027197047029583168
"[(3, 1), (0, 0), (2, 21), (8, 20), (3, 20), (4, 20)]","[(1, 20), (2, 21), (0, 1), (7, 1), (3, 1), (5, 1)]",137,3.4142558222633244,141.4857142857143,4.8306842376708525,0.073511518,68.34028356840008,0.040109506628571434,0.027410950567851946
"[(7, 1), (2, 0), (5, 20), (4, 20), (0, 20), (1, 20)]","[(2, 20), (3, 21), (3, 0), (6, 0), (5, 0), (1, 1)]",136,3.4299621632662705,141.33333333333334,4.8476798574163285,0.019122238999999985,68.93277404602891,0.039526526972222226,0.02724673152600462
"[(4, 1), (5, 1), (6, 20), (1, 20), (8, 20), (8, 21)]","[(1, 21), (8, 21), (8, 0), (7, 0), (2, 0), (1, 1)]",149,3.490660836372127,141.54054054054055,4.940700216238063,0.02466153800000004,68.96882833811064,0.039124770513513527,0.026983895813144875
