index,starts,goals,Cost,Cost_var,Cost_mean,Cost_std,Computation time,Computation time_var,Computation time_mean,Computation time_std
0,"[(8, 0), (7, 0), (0, 0), (4, 0), (3, 0), (2, 0), (1, 0), (6, 0), (0, 21), (2, 21), (8, 21), (6, 21), (7, 21), (3, 21), (4, 21), (1, 21), (5, 21)]","[(6, 21), (0, 21), (3, 21), (4, 21), (8, 21), (5, 21), (2, 21), (7, 21), (5, 0), (0, 0), (8, 0), (1, 0), (6, 0), (2, 0), (4, 0), (7, 0), (3, 0)]",532,0.0,532.0,0.0,0.24422765700000001,0.0,0.24422765700000001,0.0
1,"[(3, 0), (2, 0), (0, 0), (4, 0), (1, 0), (5, 0), (8, 0), (6, 0), (8, 21), (7, 21), (0, 21), (4, 21), (6, 21), (1, 21), (5, 21), (2, 21), (3, 21)]","[(3, 21), (5, 21), (0, 21), (8, 21), (7, 21), (4, 21), (6, 21), (1, 21), (5, 0), (6, 0), (4, 0), (1, 0), (7, 0), (2, 0), (3, 0), (8, 0), (0, 0)]",534,0.18761726078799248,533.0,1.0,0.320305663,13.476264961650095,0.28226666,0.038039003
2,"[(3, 0), (0, 0), (6, 0), (2, 0), (4, 0), (5, 0), (1, 0), (8, 0), (1, 21), (4, 21), (0, 21), (6, 21), (5, 21), (8, 21), (3, 21), (2, 21), (7, 21)]","[(7, 21), (5, 21), (8, 21), (2, 21), (3, 21), (1, 21), (4, 21), (0, 21), (7, 0), (8, 0), (6, 0), (0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0)]",536,0.3058039628942794,534.0,1.632993161855452,0.225623837,15.55088296224007,0.263385719,0.04095880490094451
3,"[(6, 0), (8, 0), (2, 0), (1, 0), (5, 0), (4, 0), (0, 0), (7, 0), (5, 21), (4, 21), (0, 21), (3, 21), (7, 21), (6, 21), (2, 21), (1, 21), (8, 21)]","[(6, 21), (7, 21), (1, 21), (5, 21), (8, 21), (4, 21), (0, 21), (3, 21), (4, 0), (5, 0), (7, 0), (3, 0), (0, 0), (8, 0), (2, 0), (6, 0), (1, 0)]",529,0.4854096871322666,532.75,2.5860201081971503,0.21775011800000005,16.114288122390793,0.25197681875,0.04060427057500943
4,"[(1, 0), (4, 0), (7, 0), (3, 0), (5, 0), (2, 0), (6, 0), (0, 0), (7, 21), (8, 21), (6, 21), (5, 21), (4, 21), (3, 21), (1, 21), (2, 21), (0, 21)]","[(5, 21), (7, 21), (0, 21), (6, 21), (1, 21), (4, 21), (3, 21), (2, 21), (5, 0), (4, 0), (6, 0), (3, 0), (1, 0), (8, 0), (2, 0), (7, 0), (0, 0)]",537,0.5379572749028233,533.6,2.870540018881465,0.306499203,16.114752814253958,0.2628812956,0.04236267098084827
5,"[(6, 0), (8, 0), (2, 0), (0, 0), (4, 0), (1, 0), (3, 0), (5, 0), (1, 21), (7, 21), (3, 21), (4, 21), (5, 21), (2, 21), (6, 21), (8, 21), (0, 21)]","[(2, 21), (5, 21), (8, 21), (7, 21), (3, 21), (1, 21), (4, 21), (6, 21), (0, 0), (4, 0), (2, 0), (7, 0), (5, 0), (1, 0), (6, 0), (8, 0), (3, 0)]",535,0.5005063859469684,533.8333333333334,2.6718699236468995,0.247034872,15.032257272216718,0.260240225,0.03911998014779565
6,"[(8, 0), (7, 0), (1, 0), (4, 0), (0, 0), (5, 0), (2, 0), (6, 0), (3, 21), (0, 21), (7, 21), (5, 21), (1, 21), (4, 21), (8, 21), (6, 21), (2, 21)]","[(4, 21), (3, 21), (0, 21), (2, 21), (7, 21), (5, 21), (8, 21), (6, 21), (8, 0), (6, 0), (2, 0), (5, 0), (0, 0), (4, 0), (7, 0), (3, 0), (1, 0)]",534,0.4634869701816637,533.8571428571429,2.4743582965269675,0.28410684199999997,14.097679068014624,0.2636497417142857,0.03716849445052947
7,"[(6, 0), (2, 0), (7, 0), (4, 0), (5, 0), (8, 0), (0, 0), (3, 0), (7, 21), (5, 21), (3, 21), (0, 21), (8, 21), (2, 21), (1, 21), (6, 21), (4, 21)]","[(1, 21), (3, 21), (5, 21), (8, 21), (2, 21), (4, 21), (0, 21), (7, 21), (8, 0), (6, 0), (2, 0), (7, 0), (5, 0), (0, 0), (1, 0), (4, 0), (3, 0)]",524,0.7506306309185392,532.625,3.998046397929869,0.242967531,13.57303914599727,0.261064465375,0.03543438208163724
8,"[(1, 0), (7, 0), (4, 0), (8, 0), (3, 0), (0, 0), (5, 0), (6, 0), (2, 21), (6, 21), (4, 21), (3, 21), (7, 21), (5, 21), (8, 21), (1, 21), (0, 21)]","[(5, 21), (6, 21), (4, 21), (8, 21), (2, 21), (3, 21), (0, 21), (1, 21), (7, 0), (5, 0), (1, 0), (6, 0), (4, 0), (2, 0), (3, 0), (8, 0), (0, 0)]",532,0.7087539224478628,532.5555555555555,3.7745083892140068,0.21195389399999998,14.397337122089256,0.25560773522222224,0.03680070735008062
9,"[(1, 0), (0, 0), (8, 0), (7, 0), (4, 0), (3, 0), (5, 0), (2, 0), (3, 21), (4, 21), (7, 21), (8, 21), (1, 21), (6, 21), (5, 21), (2, 21), (0, 21)]","[(2, 21), (0, 21), (4, 21), (6, 21), (5, 21), (3, 21), (8, 21), (1, 21), (2, 0), (0, 0), (3, 0), (1, 0), (7, 0), (6, 0), (4, 0), (5, 0), (8, 0)]",524,0.8286022483321682,531.7,4.405678154382138,0.22383657700000004,14.336576152869743,0.2524306194,0.03618990798344178
10,"[(3, 0), (5, 0), (1, 0), (7, 0), (0, 0), (4, 0), (6, 0), (8, 0), (4, 21), (0, 21), (1, 21), (6, 21), (7, 21), (8, 21), (2, 21), (5, 21), (3, 21)]","[(3, 21), (5, 21), (2, 21), (1, 21), (8, 21), (7, 21), (4, 21), (6, 21), (5, 0), (2, 0), (7, 0), (4, 0), (6, 0), (3, 0), (0, 0), (8, 0), (1, 0)]",537,0.8396450787457812,532.1818181818181,4.468438446343457,0.277833824,13.845514519441462,0.2547400016363637,0.035270063913388154
11,"[(0, 0), (7, 0), (3, 0), (8, 0), (6, 0), (5, 0), (2, 0), (4, 0), (6, 21), (1, 21), (4, 21), (5, 21), (0, 21), (2, 21), (3, 21), (8, 21), (7, 21)]","[(6, 21), (1, 21), (2, 21), (7, 21), (8, 21), (3, 21), (5, 21), (4, 21), (8, 0), (4, 0), (3, 0), (0, 0), (2, 0), (7, 0), (1, 0), (5, 0), (6, 0)]",534,0.8091952400325663,532.3333333333334,4.307615994440028,0.25980777400000005,13.24551044359247,0.255162316,0.03379755121389242
12,"[(8, 0), (4, 0), (2, 0), (0, 0), (1, 0), (5, 0), (7, 0), (3, 0), (2, 21), (5, 21), (6, 21), (7, 21), (3, 21), (1, 21), (4, 21), (8, 21), (0, 21)]","[(3, 21), (8, 21), (7, 21), (5, 21), (1, 21), (0, 21), (6, 21), (4, 21), (5, 0), (7, 0), (8, 0), (3, 0), (0, 0), (2, 0), (4, 0), (1, 0), (6, 0)]",533,0.7780905659781108,532.3846153846154,4.142434467026542,0.244741659,12.812570670015955,0.254360727,0.032590147903641356
13,"[(5, 0), (0, 0), (2, 0), (3, 0), (6, 0), (7, 0), (4, 0), (8, 0), (4, 21), (0, 21), (8, 21), (7, 21), (5, 21), (2, 21), (3, 21), (6, 21), (1, 21)]","[(1, 21), (3, 21), (6, 21), (2, 21), (5, 21), (4, 21), (8, 21), (0, 21), (1, 0), (6, 0), (2, 0), (0, 0), (5, 0), (7, 0), (4, 0), (8, 0), (3, 0)]",536,0.7695409272041612,532.6428571428571,4.098904781543879,0.31348082899999996,13.496967147372423,0.25858359142857146,0.03490094238361002
14,"[(3, 0), (4, 0), (0, 0), (8, 0), (1, 0), (7, 0), (6, 0), (5, 0), (5, 21), (3, 21), (8, 21), (6, 21), (0, 21), (4, 21), (1, 21), (2, 21), (7, 21)]","[(4, 21), (5, 21), (0, 21), (8, 21), (3, 21), (7, 21), (6, 21), (2, 21), (1, 0), (4, 0), (0, 0), (5, 0), (6, 0), (2, 0), (8, 0), (7, 0), (3, 0)]",,0.7695409272041612,532.6428571428571,4.098904781543879,1.2207791890000002,75.10009965379446,0.32272996460000003,0.24237052502725562
15,"[(0, 0), (4, 0), (3, 0), (2, 0), (6, 0), (8, 0), (1, 0), (7, 0), (7, 21), (0, 21), (6, 21), (3, 21), (1, 21), (4, 21), (2, 21), (5, 21), (8, 21)]","[(4, 21), (5, 21), (1, 21), (8, 21), (3, 21), (6, 21), (2, 21), (7, 21), (8, 0), (0, 0), (5, 0), (2, 0), (4, 0), (7, 0), (6, 0), (1, 0), (3, 0)]",526,0.8065819883254539,532.2,4.292629341868066,0.22800435000000008,74.42696440308313,0.31680961368750005,0.23579177840474086
16,"[(1, 0), (2, 0), (5, 0), (3, 0), (4, 0), (0, 0), (8, 0), (6, 0), (6, 21), (1, 21), (0, 21), (8, 21), (5, 21), (4, 21), (3, 21), (7, 21), (2, 21)]","[(6, 21), (1, 21), (8, 21), (5, 21), (7, 21), (4, 21), (2, 21), (3, 21), (6, 0), (3, 0), (2, 0), (4, 0), (7, 0), (8, 0), (0, 0), (1, 0), (5, 0)]",530,0.7875573965399616,532.0625,4.1902975729654335,0.24568821500000004,73.3665516768631,0.31262600200000007,0.22936291731264113
17,"[(7, 0), (2, 0), (1, 0), (0, 0), (3, 0), (8, 0), (4, 0), (6, 0), (1, 21), (8, 21), (0, 21), (2, 21), (6, 21), (5, 21), (3, 21), (7, 21), (4, 21)]","[(0, 21), (2, 21), (7, 21), (6, 21), (5, 21), (3, 21), (1, 21), (8, 21), (6, 0), (4, 0), (5, 0), (7, 0), (0, 0), (8, 0), (2, 0), (1, 0), (3, 0)]",543,0.9031848518850941,532.7058823529412,4.811318834512596,0.3089333369999999,71.34680403404394,0.3124208539444445,0.22290229442522946
18,"[(8, 0), (5, 0), (7, 0), (6, 0), (1, 0), (4, 0), (2, 0), (3, 0), (3, 21), (6, 21), (5, 21), (2, 21), (7, 21), (0, 21), (1, 21), (8, 21), (4, 21)]","[(4, 21), (0, 21), (5, 21), (1, 21), (2, 21), (6, 21), (7, 21), (3, 21), (0, 0), (1, 0), (5, 0), (3, 0), (2, 0), (4, 0), (6, 0), (8, 0), (7, 0)]",531,0.880954309966458,532.6111111111111,4.692060538693574,0.244507025,70.41898136106268,0.3088464418947369,0.21748651835216007
19,"[(0, 0), (4, 0), (5, 0), (6, 0), (2, 0), (8, 0), (3, 0), (1, 0), (1, 21), (0, 21), (2, 21), (3, 21), (8, 21), (5, 21), (6, 21), (7, 21), (4, 21)]","[(0, 21), (3, 21), (2, 21), (1, 21), (7, 21), (8, 21), (6, 21), (4, 21), (0, 0), (5, 0), (4, 0), (2, 0), (1, 0), (6, 0), (3, 0), (8, 0), (7, 0)]",527,0.8896359010640296,532.3157894736842,4.735672370190312,0.24778625099999996,69.45765473600069,0.30579343235000006,0.21239694644702892
20,"[(2, 0), (3, 0), (7, 0), (8, 0), (4, 0), (6, 0), (0, 0), (5, 0), (5, 21), (2, 21), (8, 21), (7, 21), (6, 21), (4, 21), (1, 21), (0, 21), (3, 21)]","[(1, 21), (4, 21), (3, 21), (6, 21), (5, 21), (8, 21), (7, 21), (0, 21), (8, 0), (6, 0), (4, 0), (0, 0), (7, 0), (2, 0), (1, 0), (3, 0), (5, 0)]",535,0.8738261612308605,532.45,4.652687395473717,0.28614868800000004,68.00557343089389,0.3048579683333334,0.2073204095148563
21,"[(3, 0), (4, 0), (1, 0), (0, 0), (8, 0), (5, 0), (2, 0), (7, 0), (1, 21), (6, 21), (3, 21), (5, 21), (8, 21), (0, 21), (7, 21), (4, 21), (2, 21)]","[(7, 21), (3, 21), (2, 21), (6, 21), (4, 21), (8, 21), (1, 21), (0, 21), (7, 0), (2, 0), (4, 0), (5, 0), (1, 0), (6, 0), (0, 0), (3, 0), (8, 0)]",545,0.9884185446434681,533.047619047619,5.2687415184471345,0.31945583600000016,66.30518735797493,0.30552150777272735,0.2025766081476168
22,"[(6, 0), (7, 0), (1, 0), (8, 0), (5, 0), (4, 0), (3, 0), (0, 0), (5, 21), (2, 21), (8, 21), (3, 21), (7, 21), (0, 21), (1, 21), (6, 21), (4, 21)]","[(8, 21), (2, 21), (0, 21), (4, 21), (3, 21), (6, 21), (5, 21), (1, 21), (0, 0), (1, 0), (5, 0), (3, 0), (2, 0), (8, 0), (7, 0), (4, 0), (6, 0)]",532,0.9666469258266932,533.0,5.152228114656275,0.2628865469999999,65.3064006449148,0.303667813826087,0.19831451912691836
23,"[(3, 0), (8, 0), (6, 0), (1, 0), (4, 0), (0, 0), (7, 0), (2, 0), (8, 21), (4, 21), (2, 21), (5, 21), (6, 21), (3, 21), (0, 21), (1, 21), (7, 21)]","[(1, 21), (4, 21), (7, 21), (2, 21), (6, 21), (5, 21), (0, 21), (8, 21), (6, 0), (3, 0), (7, 0), (8, 0), (5, 0), (0, 0), (2, 0), (4, 0), (1, 0)]",527,0.9733486666694247,532.7391304347826,5.185409222913243,0.27711316899999994,64.18913058124531,0.3025613702916667,0.1942115130649231
24,"[(6, 0), (4, 0), (3, 0), (1, 0), (0, 0), (2, 0), (7, 0), (5, 0), (2, 21), (8, 21), (5, 21), (7, 21), (4, 21), (1, 21), (3, 21), (0, 21), (6, 21)]","[(6, 21), (4, 21), (3, 21), (2, 21), (5, 21), (7, 21), (8, 21), (0, 21), (4, 0), (2, 0), (5, 0), (8, 0), (1, 0), (3, 0), (0, 0), (7, 0), (6, 0)]",539,0.9808872508666744,533.0,5.228129047119374,0.9536437320000001,69.71946886021114,0.32860466476,0.2291014269205494
25,"[(6, 0), (8, 0), (5, 0), (3, 0), (2, 0), (7, 0), (0, 0), (1, 0), (8, 21), (7, 21), (1, 21), (2, 21), (4, 21), (5, 21), (3, 21), (0, 21), (6, 21)]","[(5, 21), (0, 21), (7, 21), (8, 21), (6, 21), (3, 21), (2, 21), (1, 21), (2, 0), (4, 0), (1, 0), (8, 0), (5, 0), (3, 0), (0, 0), (6, 0), (7, 0)]",,0.9808872508666744,533.0,5.228129047119374,1.281704439,79.3776914039362,0.3652623483846154,0.28993681971551033
26,"[(7, 0), (3, 0), (4, 0), (8, 0), (0, 0), (6, 0), (1, 0), (5, 0), (0, 21), (1, 21), (5, 21), (6, 21), (7, 21), (4, 21), (3, 21), (8, 21), (2, 21)]","[(4, 21), (0, 21), (2, 21), (6, 21), (1, 21), (3, 21), (5, 21), (8, 21), (0, 0), (3, 0), (7, 0), (6, 0), (8, 0), (2, 0), (5, 0), (1, 0), (4, 0)]",521,1.0584490320023157,532.52,5.636452785218732,0.1947552239999999,79.77031007872772,0.3589472697037037,0.2863333500617715
27,"[(2, 0), (7, 0), (4, 0), (6, 0), (8, 0), (1, 0), (0, 0), (5, 0), (7, 21), (5, 21), (4, 21), (2, 21), (8, 21), (1, 21), (3, 21), (0, 21), (6, 21)]","[(0, 21), (5, 21), (7, 21), (3, 21), (6, 21), (4, 21), (2, 21), (8, 21), (0, 0), (8, 0), (3, 0), (1, 0), (5, 0), (6, 0), (7, 0), (4, 0), (2, 0)]",526,1.0647685302055174,532.2692307692307,5.667435265197752,0.276971074,79.09257076830882,0.3560195484285714,0.28158501328988134
28,"[(2, 0), (0, 0), (7, 0), (6, 0), (8, 0), (1, 0), (3, 0), (4, 0), (5, 21), (2, 21), (7, 21), (8, 21), (4, 21), (6, 21), (3, 21), (1, 21), (0, 21)]","[(5, 21), (0, 21), (8, 21), (3, 21), (6, 21), (1, 21), (2, 21), (7, 21), (7, 0), (5, 0), (0, 0), (6, 0), (3, 0), (8, 0), (2, 0), (1, 0), (4, 0)]",,1.0647685302055174,532.2692307692307,5.667435265197752,1.297221172,83.82847933478988,0.38847477682758624,0.3256524980137842
